id,name,icon,initial_balance,current_balance
ACC_MERCADOP,Mercado Pago (checking account),💳,"14302,94","7156,54"
ACC_MERCADOP2,Mercado Pago (short-term),💰,"39894,32","12031,20"
ACC_NUBANKMA,Nubank (checking account),🟣,"50,00","56,83"
ACC_TRANSITI,Nubank (short-term),🔄,"5100,07","5127,40"
ACC_BOSCHLIF,BoschLife,🏦,"13824,22","13827,22"
ACC_FGTS,FGTS,🏛️,"54104,01","55040,40"
ACC_MEALVOUC,Meal voucher,🍽️,"0,00","0,00"
ACC_MELIDOLA,Meli dólares,💵,"0,00","40,68"
ACC_MERCADOP3,Mercado Pago (long-term),📈,"43444,76","63339,74"
ACC_99PAY,99 Pay (short-term),🍴,"0,00","5099,78"
